restaurantNumber,restaurantName,latitude,longitude
1281,Cranberry Township,40.675762,-80.098332
1612,Addison Elston,41.945862,-87.709098
3345,Shelby Township,42.669668,-82.995043
316,Oak Park,41.888777,-87.804045
1264,McKnight,40.529063,-80.008719
3136,Boughton Road Bolingbrook,41.716647,-88.037908
3161,Cranberry Springs,40.686569,-80.09071
2148,Wexford,40.622987,-80.054301
2268,McCandless Towne Center,40.568784,-80.023275
863,Univ of Pittsburgh,40.441028,-79.957968
400,Rogers Park,42.002719,-87.661209
2410,Carnegie Mellon,40.444635,-79.948109
1983,Market Place 6 Corners,41.953245,-87.744923
1146,Baum & Millvale,40.454233,-79.947419
627,Brickyard Mall,41.928521,-87.787213
1774,Hermitage Sharon PA,41.234823,-80.450275
1642,Lincoln Peterson,41.989583,-87.705598
322,Westmont,41.810574,-87.968129
529,Bolingbrook,41.690475,-88.125112
2126,Eastside,40.459291,-79.925873
1882,Oak Brook East,41.848419,-87.932257
1220,Melrose Park,41.90884,-87.849935
3045,Chesterfield,42.674083,-82.829662
1827,Lincolnwood Town Center,42.010685,-87.712076
2000,Plainfield 127th,41.651227,-88.204231
2097,HIP - Harlem & Irving,41.957549,-87.807513
2855,Saratoga and Ogden,41.808292,-88.014447
87,Evanston,42.048587,-87.681225
270,Oakbrook,41.846534,-87.978608
89,Touhy,42.0115,-87.762874
2983,Grand and Mannheim,41.93191,-87.8855
3343,Allison Park,40.602023,-79.94546
2655,Fox Chapel,40.487999,-79.885476
1339,Downers Grove Finley Square,41.835192,-88.025263
498,Elmhurst,41.901242,-87.939531
2588,IL 83 and St Charles,41.8906,-87.961391
3036,Patton Avenue,35.586721,-82.587429
3105,South Kentwood,42.84913,-85.62499
1663,Naperville 95th,41.711822,-88.205151
605,Old Orchard,42.052363,-87.747295
90,Naperville Riverwalk,41.771193,-88.147656
1541,Park Ridge,42.009964,-87.827101
1800,Naperville Tower Crossing,41.797449,-88.118673
2737,Villa Park,41.90583,-87.985485
277,Wheaton,41.83019,-88.093764
819,Glen Ellyn,41.859022,-88.057634
276,Rosemont,42.00757,-87.885469
624,Fox Valley,41.768496,-88.206342
587,Warrenville,41.801708,-88.172313
1369,Golf Mill,42.055052,-87.835604
1043,Grand Rapids Woodland,42.911962,-85.578299
2019,Grandville Rivertown,42.884279,-85.739756
1194,Oswego,41.70389,-88.30703
2127,Monroeville,40.439153,-79.766929
2984,Holland MI,42.81239,-86.087795
1466,Wheaton West,41.85824,-88.1399
3468,Aurora Eola,41.780454,-88.240191
1819,Addison - Lake 53,41.949713,-88.032293
2688,Flint,42.976711,-83.768421
168,Glenview,42.104781,-87.814037
2303,Asheville Hendersonville Road,35.504615,-82.523931
2390,Northbrook Lake Cook,42.139017,-87.793098
1408,Elk Grove Village,42.003149,-88.004911
2884,Fairfield and Lake Street,41.957178,-88.073648
858,Bloomingdale,41.938771,-88.114232
2298,Willow Sanders,42.109629,-87.874887
1888,Aurora Kirk & Butterfield,41.813732,-88.280378
631,Randhurst,42.081136,-87.935653
404,Rolling Meadows,42.050492,-87.994134
3414,Murrysville-Walnut Hollow,40.422276,-79.662292
209,Deerfield,42.167033,-87.8441
53,Streets of Woodfield,42.040268,-88.033668
3176,Woodfield Mall,42.046622,-88.037542
3491,Ashtabula,41.877443,-80.75807
1462,Aurora Orchard,41.786282,-88.376228
1210,Lincoln Place,40.304414,-79.579652
131,Arlington Heights,42.112722,-87.978336
1622,Hoffman Estates Golf & Roselle,42.048967,-88.078899
454,St. Charles,41.920626,-88.265868
3331,Valley View Blvd NW,37.300718,-79.956889
3215,Grand Rapids Alpine,43.023255,-85.688545
885,Wheeling,42.155058,-87.954098
208,Barrington Road,42.025247,-88.143711
248,Geneva,41.874674,-88.339735
2247,Lincolnshire,42.182149,-87.929058
1602,South Roanoke,37.255665,-79.955002
2466,Palatine,42.138714,-88.025533
167,Vernon Hills,42.232517,-87.942181
377,Kildeer,42.161338,-88.049837
2438,Lake Bluff,42.279038,-87.871489
1037,Springfield White Oaks IL,39.764431,-89.704348
1169,Prairie Stone,42.070549,-88.191161
3546,Hamilton Place,35.034445,-85.15256
383,South Elgin,41.985655,-88.341586
1437,Libertyville,42.283981,-87.953805
1186,Waukegan,42.342315,-87.895796
999,W Dundee Springhill,42.099744,-88.28657
3482,Elgin Randall,42.09379,-88.33522
998,Gurnee Mills,42.384224,-87.95446
3177,Peru,41.363317,-89.128804
2350,East Peoria,40.669464,-89.583838
399,Algonquin,42.171588,-88.335889
1419,Round Lake Beach,42.3798,-88.0627
2101,Hickory,35.707334,-81.308264
1148,Crystal Lake,42.226642,-88.294975
1955,Peoria Northwoods,40.743073,-89.631157
2685,Dekalb Barber Greene ,41.953346,-88.725361
794,Dekalb NIU,41.931419,-88.771632
1055,Fairview Heights,38.591908,-89.985458
2820,Kenosha,42.565984,-87.920733
1426,McHenry,42.359946,-88.26651
2499,Indiana PA,40.613064,-79.174538
2163,Saginaw,43.47945,-83.970125
549,Racine,42.71954,-87.8489
1361,JMU,38.431892,-78.85461
1504,Erie Peach Street,42.058019,-80.09017
3099,CMU,43.58492,-84.768104
2421,West Erie,42.105396,-80.131654
1941,SLU,38.6326,-90.233774
851,Hanes Mall,36.069419,-80.297957
3072,Lakeside Lynchburg,37.404268,-79.187378
2026,Florissant,38.804599,-90.307727
1834,Lynchburg,37.345485,-79.188818
1956,Mooresville NC,35.595424,-80.875673
907,DT Clayton,38.650548,-90.338428
2356,Hanley Road,38.6264,-90.33444
1831,Haywood Road,34.84861,-82.33829
2640,Kernersville,36.108436,-80.097685
1828,Clemson,34.68461,-82.837358
2922,London North,43.027585,-81.280763
1245,Woodruff,34.825873,-82.299647
1680,Spartanburg West,34.937598,-81.984636
2082,Bridgeton,38.750691,-90.427808
1048,Kirkwood,38.563699,-90.408134
483,Rockford,42.26449,-88.980615
919,Creve Coeur,38.672693,-90.435973
2213,West County Mall FC,38.599122,-90.448844
2183,Birkdale Village,35.44367,-80.878983
441,South 27th Street,42.986069,-87.947816
515,Hales Corners,42.938708,-88.047734
1796,Huntsville University Drive,34.742178,-86.665714
2222,Gastonia,35.260192,-81.13312
313,Ogden Avenue,43.04847,-87.90424
2979,Salisbury NC,35.652342,-80.456753
2035,Rockford Machesney,42.366051,-89.023489
